year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-5.12,-2.82,2.28,-0.08,-58.69,4.33,-0.13,-55.24,8.02,26.01,-60.22
2025,-4.15,-1.55,-33.49,-0.78,-34.06,39.38,0.6,-15.99,15.94,14.05,-16.51
2024,-6.63,-3.16,-1.66,-0.2,-30.59,19.71,-0.01,-32.81,9.35,38.93,-29.89
2023,-5.06,-4.04,9.09,0.31,-7.83,-2.29,-0.24,-17.05,1.09,15.11,-13.97
2022,-5.55,-3.31,12.36,0.38,-11.07,1.98,-0.13,-15.89,-7.68,21.62,-29.73
2021,-3.97,-2.28,10.32,0.25,-14.24,-6.12,-0.34,-29.57,17.63,14.62,-11.3
2020,-3.55,-1.67,-13.96,-0.46,-27.03,16.19,0.06,-18.69,9.53,25.49,-17.91
2019,-6.21,-2.39,-7.05,-0.32,-11.08,23.4,0.41,-16.72,23.32,20.61,-18.91
2018,-6.38,-5.35,6.14,0.1,-15.71,3.41,-0.1,-17.8,-23.4,23.28,-35.46
2017,-5.92,-5.14,-13.62,-0.72,-16.15,33.65,1.8,-5.11,-11.46,15.8,-17.81
2016,-5.45,-2.5,6.36,-0.03,-22.89,5.61,-0.17,-21.72,-9.17,34.53,-33.16
2015,-3,-2.33,31.24,0.01,-32.91,-27.54,-0.57,-46.78,71.24,60.69,-53.99
