year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-3.13,-1.54,-3.36,-0.21,-59.88,9.68,0.33,-37.52,-0.59,30.02,-79.21
2025,-4.3,-1.64,11.06,1.06,-9.87,1.19,-0.13,-11.12,30.26,18.47,-16.98
2024,-3.51,-1.6,-13.16,-0.64,-19.72,19.49,0.56,-17.63,-2.05,38.66,-31.34
2023,-3.34,-2.36,8.34,1.45,-4.33,-2.56,-0.38,-9.42,0.35,14.77,-13.85
2022,-2.21,-1.23,0.49,0.07,-10.23,3.44,0.13,-11.14,-19.46,21.89,-32.49
2021,-1.74,-0.82,-5.86,-0.54,-13.76,-20.62,-1.07,-33.15,1.67,14.57,-12.04
2020,-2.63,-1.28,-24.35,-2.39,-21.01,11.35,0.46,-11.54,-0.73,26.27,-19.35
2019,-3.63,-1.98,-19.96,-2.27,-16.34,31.49,2.42,-11.81,10.66,20.54,-22.18
2018,-2.9,-1.53,-9.75,-1.44,-17.64,12.35,1.4,-9.98,-39.17,23.01,-44.52
2017,-3.26,-1.89,-17.03,-1.99,-17.39,34.59,3.97,-4.69,-14.82,16.65,-19.58
2016,-4.17,-2.19,10.3,1.69,-5.62,13.18,0.94,-6.46,-5.29,34.48,-33.17
2015,-2.79,-1.11,34.76,1.37,-17.57,-12.98,-0.81,-29.28,66.5,63.78,-54.7
