year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-3.86,-1.89,6.8,0.03,-38.73,5.37,-0.08,-46.94,12.71,27.9,-51.39
2025,-3.68,-2.52,-38.34,-0.81,-35.61,47.76,0.87,-18.22,15.37,15.46,-17.55
2024,-3.56,-1.59,2.55,-0.12,-30.76,14.4,-0.08,-31.52,13.52,41.99,-32.49
2023,-0.75,-0.45,10.7,0.36,-7.52,-6.57,-0.4,-18.01,2.68,17,-15.2
2022,-2.15,-1.03,9.78,0.26,-15.52,-1.79,-0.24,-19.78,-10.24,24.7,-33.38
2021,-2.53,-1.69,19.39,0.54,-13.94,-11.26,-0.47,-29.99,26.56,17.43,-11.73
2020,-1.82,-1.05,-3.42,-0.24,-20.94,8.32,-0.06,-20.86,19.93,28.33,-18.75
2019,-3.95,-3.15,-3.66,-0.21,-10.35,18.24,0.33,-14.44,26.64,23.59,-19.38
2018,-4.74,-2.48,9.12,0.21,-16.11,4.12,0,-13.53,-20.45,25.62,-35.59
2017,-3.2,-1.26,-12.28,-0.62,-16.14,24.11,1.28,-4.83,-10.14,17.54,-18.19
2016,-6.38,-3.88,10.16,0.05,-23.07,5.39,-0.15,-19.51,-5.43,36.16,-32.79
2015,-10.29,-3.16,82.37,0.44,-28.86,8.58,-0.36,-39.53,129.45,62.42,-51.39
