year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-5.27,-3.35,7.13,0.01,-38.5,7.11,-0.01,-50.76,13.03,26.03,-40.2
2025,-5.24,-4.44,-37.66,-0.84,-34.33,44.87,0.69,-18.47,15.66,13.97,-15.57
2024,-3.78,-1.5,-1.75,-0.19,-30.08,9.43,-0.18,-37.1,9.26,40.71,-31.51
2023,-2.97,-2.37,9.54,0.32,-7.41,-7.7,-0.44,-19.29,1.54,16.42,-15.18
2022,-3.5,-2.3,9.99,0.28,-14.3,-0.74,-0.22,-17.16,-10.03,23.35,-32.54
2021,-3.27,-2.32,16.52,0.46,-11.95,-8.33,-0.4,-28.88,23.74,15.92,-9.59
2020,-4.3,-3.46,-1.22,-0.2,-19.23,22.28,0.23,-17.87,22.09,27.27,-18.47
2019,-6.66,-3.46,-1.86,-0.17,-10.22,30.47,0.67,-16.12,28.41,22.28,-19.26
2018,-5.8,-5.78,9.8,0.24,-13.5,7.41,0.11,-14.9,-19.78,24.35,-33.62
2017,-7.03,-6.46,-9.92,-0.55,-13.46,35.84,2.01,-5.15,-7.81,15.88,-17.02
2016,-8.88,-5.49,13.25,0.13,-22.98,8.64,-0.11,-22.52,-2.39,34.24,-33.62
2015,-6.82,-4.28,85.06,0.18,-30.82,-35.02,-0.41,-43.2,132.55,58.67,-39.52
