year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,5.29,4.3,6.54,0.03,-40.49,5.73,-0.07,-47.75,12.44,26.79,-52.56
2025,4.06,3.37,-37.56,-0.83,-34.66,47.53,0.89,-17.31,15.7,14.17,-15.84
2024,5.27,2.86,4.19,-0.11,-27.57,16.6,-0.04,-31.57,15.15,39.05,-30.4
2023,3.94,4.1,16.38,0.65,-6.51,-13.08,-0.63,-22.12,8.31,15.09,-10.19
2022,5.16,4.08,17.35,0.57,-11.88,-2.73,-0.28,-16.1,-2.73,22.8,-29.77
2021,3.78,3.54,23.44,0.71,-14.37,-8.32,-0.39,-25.92,30.54,15.87,-11.41
2020,5.27,4.08,-5.25,-0.28,-20.73,15.17,0.08,-17.24,18.12,27.22,-18.87
2019,5.34,2.92,-2.42,-0.19,-9.28,22.77,0.45,-14.31,27.86,22.25,-18.88
2018,5.5,8.56,9.48,0.23,-14.24,4.14,-0.04,-14.46,-20.09,24.98,-33.85
2017,6.18,7.77,-11.79,-0.61,-14.98,28.77,1.57,-4.64,-9.66,16.67,-17.74
2016,6.87,9.1,10.56,0.06,-21.98,5.69,-0.15,-18.83,-5.04,34.42,-32.98
2015,6.97,5.09,60.55,0.26,-32.8,-9.56,-0.47,-41.84,104.46,62.76,-52.56
